Ntacode,Ntaname,Food Insecurity Rate_2018,Food Insecurity Rate_2018_rank,Adj Weighted Score,December 2020 unemployment rate 2018,December 2020 unemployment rate_2018_rank,NP Rank 2018,Supply gap above City average (pounds) 2018,Supply gap above City average (pounds)_2018_rank,Vulnerable populations %,Vulnerable populations %_rank
BK09,Brooklyn Heights-Cobble Hill,7.78%,176,6.31,5.08%,178,146,"275,051",98,28.70%,177
BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,12.80%,100,7.57,9.68%,110,31,"1,254,746",10,42.38%,51
BK19,Brighton Beach,19.40%,37,7.30,8.58%,136,45,"860,719",32,45.34%,27
BK21,Seagate-Coney Island,26.04%,7,7.63,19.24%,7,29,"427,984",72,43.67%,38
BK23,West Brighton,14.72%,81,6.54,8.17%,149,126,"262,645",99,46.07%,21
BK25,Homecrest,14.29%,85,6.74,8.57%,139,97,"370,198",81,45.88%,23
BK26,Gravesend,17.84%,48,6.33,13.09%,57,145,"-611,512",159,43.57%,39
BK27,Bath Beach,12.66%,101,6.94,8.91%,130,72,"658,302",46,41.39%,66
BK28,Bensonhurst West,14.79%,80,7.66,11.38%,78,26,"1,000,501",28,40.68%,75
BK29,Bensonhurst East,14.86%,79,7.03,10.30%,99,66,"430,118",71,39.99%,89
BK30,Dyker Heights,13.90%,89,7.13,10.88%,87,54,"669,052",44,41.87%,57
BK31,Bay Ridge,12.62%,102,7.52,8.57%,138,34,"1,286,362",8,38.15%,115
BK32,Sunset Park West,15.78%,66,7.94,11.48%,77,16,"1,171,702",17,41.52%,61
BK33,Carroll Gardens-Columbia Street-Red Hook,13.55%,93,6.72,7.39%,163,100,"592,205",54,31.63%,167
BK34,Sunset Park East,16.94%,55,8.26,10.96%,85,7,"1,545,208",3,45.65%,25
BK35,Stuyvesant Heights,18.29%,45,5.14,14.65%,42,181,"-2,773,878",190,35.30%,146
BK37,Park Slope-Gowanus,7.68%,178,6.67,5.02%,179,109,"648,643",48,29.90%,173
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,16.31%,61,6.87,9.88%,108,77,"510,266",64,26.53%,181
BK40,Windsor Terrace,8.06%,171,6.33,5.22%,176,144,"257,452",100,40.76%,73
BK41,Kensington-Ocean Parkway,15.15%,73,6.30,9.30%,118,148,"-201,182",139,42.99%,46
BK42,Flatbush,15.27%,71,5.93,11.21%,81,166,"-1,537,813",178,38.58%,107
BK43,Midwood,15.61%,68,6.13,9.28%,120,156,"-832,467",166,44.08%,32
BK44,Madison,11.32%,121,6.76,7.91%,156,94,"503,926",65,41.43%,64
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,7.40%,184,6.56,8.07%,151,124,"226,822",106,42.74%,48
BK46,Ocean Parkway South,13.96%,88,5.58,7.14%,165,177,"-893,317",168,49.81%,10
BK50,Canarsie,11.51%,119,4.05,10.81%,92,186,"-3,857,865",193,36.57%,135
BK58,Flatlands,10.69%,131,6.56,12.58%,64,122,"-361,475",152,38.59%,106
BK60,Prospect Lefferts Gardens-Wingate,16.83%,57,6.68,13.06%,58,106,"-321,879",150,40.10%,86
BK61,Crown Heights North,18.18%,46,6.45,11.90%,73,137,"-533,409",156,32.60%,162
BK63,Crown Heights South,16.19%,63,6.82,13.54%,52,82,"-37,976",127,40.98%,71
