Weighted.Score,Food.Insecure.Percentage,NTA,NTA.Name,Sg Abv Ca,Unemployment.Rate,Food.Insecure.Percentage Rank,Geometry,Rank,sg abv ca Rank,Unemployment.Rate Rank,Unemployment.Rate.Perc,
6.81171,15.74%,BK0101,Greenpoint,"832,109.80",741.51%,110,MultiPolygon,44,32,97,7.42%,
6.32693,16.48%,BK0102,Williamsburg,"443,867.70",694.02%,97,MultiPolygon,75,73,113,6.94%,
8.03365,27.58%,BK0103,South Williamsburg,"1,429,612.60",967.98%,15,MultiPolygon,5,6,41,9.68%,
6.83298,21.34%,BK0104,East Williamsburg,"649,433.60",739.65%,41,MultiPolygon,43,54,99,7.40%,
5.63713,10.05%,BK0201,Brooklyn Heights,"191,997.00",407.41%,186,MultiPolygon,139,102,187,4.07%,
5.02645,15.69%,BK0202,Downtown Brooklyn-DUMBO-Boerum Hill,"-433,190.30",563.38%,114,MultiPolygon,166,152,142,5.63%,
6.03665,17.64%,BK0203,Fort Greene,"24,006.00",774.07%,81,MultiPolygon,102,115,86,7.74%,
5.77126,13.50%,BK0204,Clinton Hill,"-163,812.30",749.54%,145,MultiPolygon,129,133,92,7.50%,
5.97941,20.74%,BK0301,Bedford-Stuyvesant (West),"-76,669.50",771.07%,50,MultiPolygon,111,127,87,7.71%,
1.88056,19.31%,BK0302,Bedford-Stuyvesant (East),"-3,433,887.50",863.93%,68,MultiPolygon,195,194,63,8.64%,
6.40931,19.60%,BK0401,Bushwick (West),"258,015.00",791.51%,64,MultiPolygon,66,94,81,7.92%,
5.23432,20.19%,BK0402,Bushwick (East),"-669,668.30",788.13%,57,MultiPolygon,157,162,82,7.88%,
3.5707,17.01%,BK0501,Cypress Hills,"-1,866,471.30",675.33%,86,MultiPolygon,184,184,117,6.75%,
2.90556,20.75%,BK0502,East New York (North),"-2,528,540.90",861.27%,49,MultiPolygon,188,187,64,8.61%,
5.11041,20.46%,BK0503,East New York-New Lots,"-1,056,202.00",1166.11%,53,MultiPolygon,162,175,26,11.66%,
6.07701,24.42%,BK0504,Spring Creek-Starrett City,"-33,765.50",881.62%,30,MultiPolygon,97,120,57,8.82%,
2.4526,18.01%,BK0505,East New York-City Line,"-2,694,419.20",633.56%,75,MultiPolygon,191,190,126,6.34%,
5.72971,15.41%,BK0601,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,"-13,121.30",705.82%,117,MultiPolygon,133,119,108,7.06%,
6.02847,10.44%,BK0602,Park Slope,"419,912.80",483.66%,183,MultiPolygon,104,76,169,4.84%,
6.34954,13.74%,BK0701,Windsor Terrace-South Slope,"519,105.50",686.21%,138,MultiPolygon,71,67,116,6.86%,
6.28291,18.01%,BK0702,Sunset Park (West),"326,688.20",547.45%,74,MultiPolygon,80,88,147,5.47%,
7.18786,21.66%,BK0703,Sunset Park (Central),"816,273.20",756.17%,39,MultiPolygon,27,33,89,7.56%,
5.6927,11.62%,BK0801,Prospect Heights,"16,778.80",458.26%,179,MultiPolygon,135,116,175,4.58%,
5.07895,18.85%,BK0802,Crown Heights (North),"-869,560.60",864.64%,70,MultiPolygon,163,170,61,8.65%,
5.85874,18.86%,BK0901,Crown Heights (South),"-92,997.10",918.07%,69,MultiPolygon,125,128,50,9.18%,
5.14947,16.04%,BK0902,Prospect Lefferts Gardens-Wingate,"-618,053.70",689.97%,102,MultiPolygon,160,160,115,6.90%,
7.6983,15.93%,BK1001,Bay Ridge,"1,509,838.60",667.57%,106,MultiPolygon,13,5,119,6.68%,
6.79901,17.61%,BK1002,Dyker Heights,"804,460.80",708.69%,83,MultiPolygon,46,34,105,7.09%,
8.4845,18.70%,BK1101,Bensonhurst,"1,919,779.70",724.67%,72,MultiPolygon,3,1,101,7.25%,
6.33998,16.30%,BK1102,Bath Beach,"680,486.80",458.85%,99,MultiPolygon,72,50,174,4.59%,
7.36905,19.40%,BK1103,Gravesend (West),"1,040,119.70",907.52%,65,MultiPolygon,20,20,54,9.08%,
7.3286,22.14%,BK1201,Sunset Park (East)-Borough Park (West),"841,216.50",940.64%,37,MultiPolygon,23,30,46,9.41%,
7.35034,22.77%,BK1202,Borough Park,"1,125,782.30",802.59%,34,MultiPolygon,21,16,79,8.03%,
5.35263,15.30%,BK1203,Kensington,"-123,504.10",501.13%,118,MultiPolygon,153,131,166,5.01%,
5.73161,16.87%,BK1204,Mapleton-Midwood (West),"124,639.90",564.74%,89,MultiPolygon,132,112,141,5.65%,
4.34172,19.39%,BK1301,Gravesend (South),"-1,135,714.20",777.98%,66,MultiPolygon,180,177,84,7.78%,
