"ID","TYPE","PROGRAM","PHONE","DISTADD","DISTBORO","DISTZIP","DAYS","mobile","HIV","kosher","halal","type_clean","type1","type2","count","addr","coords","bbl","lat","lon"
84948,"FP","ACTS COMMUNITY DEVELOPMENT CORPORATION ","718 415-1170","2114 MERMAID AVE ","BROOKLYN",11224,"TUE/THUR 6-7PM/11AM-12PM","No","No","No","No","Both","Food Pantry","",2,"2114 MERMAID AVE","-73.988416,40.576037","3070580007",40.576037,-73.988416
85247,"FP","ADMIRABLE CHURCH INC ","347-779-7192","1910 FLATBUSH AVENUE ","BROOKLYN",11210,"SAT 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1910 FLATBUSH AVENUE","-73.937734,40.623107","3078100037",40.623107,-73.937734
81576,"FP","AMMI EVANGELICAL BAPTIST CHURCH ","718 282-7565","1799 FLATBUSH AVENUE ","BROOKLYN",11210,"SAT 12:30-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1799 FLATBUSH AVENUE","-73.940389,40.626345","3076180028",40.626345,-73.940389
85537,"FP","APNA FOOD PANTRY BRIGHTON BEACH ","718-513-4700","211 NEPTUNE AVENUE ","BROOKLYN",11235,"WED 2-4PM","No","No","No","No","Food Pantry","Food Pantry","",1,"211 NEPTUNE AVENUE","-73.961332,40.581914","3072630124",40.581914,-73.961332
85330,"FP","BAY VIEW HOUSES RESIDENT ASSOCIATION ","347-371-9794","2085 ROCKAWAY PARKWAY ","BROOKLYN",11236,"THUR 10AM-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2085 ROCKAWAY PARKWAY","-73.886758,40.633094","3083290225",40.633094,-73.886758
85182,"FP","BEDFORD CENTRAL PRESBYTERIAN CHURCH ","718-467-0740","1200 DEAN STREET ","BROOKLYN",11216,"FRI (1,3) 9-10:30AM","No","No","No","No","Food Pantry","Food Pantry","",1,"1200 DEAN STREET","-73.949564,40.676556","3012130005",40.676556,-73.949564
83619,"FPK"," BENSONHURST COUNCIL OF JEWISH ORGANIZATIONS ","718 333-1834","8635 21ST AVE ","BROOKLYN",11214,"TUE 10AM-4PM","No","No","Yes","No","Food Pantry","Food Pantry Kosher","K",1,"8635 21ST AVE","-73.996598,40.60238","3063780019",40.60238,-73.996598
85386,"FP","BETHANIE FRENCH SEVENTH-DAY ADVENTIST CHURCH ","718-600-2334","2059 BEDFORD AVENUE ","BROOKLYN",11226,"FRI 2-4PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2059 BEDFORD AVENUE","-73.955831,40.654492","3050650011",40.654492,-73.955831
81460,"SK","BETHANY UNITED METHODIST CHURCH ","718 774-5689","1208 ST. JOHN'S PLACE ","BROOKLYN",11213,"TUE 12:30-2:30PM","No","No","No","No","Soup Kitchen","Soup Kitchen","",1,"1208 ST. JOHN'S PLACE","-73.938269,40.670631","3013820020",40.670631,-73.938269
84019,"FP","BETHEL SEVENTH-DAY ADVENTIST CHURCH ","718-783-3630","457 GRAND AVENUE ","BROOKLYN",11238,"WED 3-5PM","No","No","No","No","Both","Food Pantry","",2,"457 GRAND AVENUE","-73.961156,40.681696","3020150001",40.681696,-73.961156
85527,"FP","BETHLEM NATION'S FOOD PANTRY ","718-257-8300","1962-84 LINDEN BLVD ","BROOKLYN",11207,"SAT (3RD ONLY) 10AM-12PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1962 LINDEN BLVD","-73.88913,40.658782","3043480001",40.658782,-73.88913
81308,"FP","BEULAH CHURCH OF GOD IN CHRIST JESUS ","718-636-8500","956 MARCY AVENUE ","BROOKLYN",11216,"TUE,THUR 10:30AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"956 MARCY AVENUE","-73.946632,40.680617","3018500032",40.680617,-73.946632
85346,"FP","BLESSED ASSURANCE CHURCH OF GOD BLESSED ASSURANCE CHARITY ","347-965-1725","2093 FULTON STREET","BROOKLYN",11233,"SAT 7-11AM","No","No","No","No","Food Pantry","Food Pantry","",1,"2093 FULTON STREET","-73.90932,40.678422","3015420053",40.678422,-73.90932
81272,"FP","BLESSED SACRAMENT CHURCH ","718 827-1200","198 EUCLID AVENUE ","BROOKLYN",11208,"WED 9:30-11:30AM","No","No","No","No","Food Pantry","Food Pantry","",1,"198 EUCLID AVENUE","-73.874721,40.683703","3041280044",40.683703,-73.874721
84982,"FPK"," BNAI RAPHAEL CHESED ORGANIZATION INC ","718-951-2302","3846 FLATLANDS AVENUE ","BROOKLYN",11234,"MON-WED/THUR 10A-4PM/10AM-6PM","No","No","Yes","No","Food Pantry","Food Pantry Kosher","K",1,"3846 FLATLANDS AVENUE","-73.937501,40.619554","3078580047",40.619554,-73.937501
85578,"FP","BROOKLYN MEAL SHARE NONE PROVIDED",NA,"1323 FOSTER AVENUE ","BROOKLYN",11230,"SAT,SUN 4-6PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1323 FOSTER AVENUE","-73.96418,40.633755","3052340028",40.633755,-73.96418
84759,"FP","BROOKLYN RESCUE MISSION URBAN HARVEST CENTER INC ","917-426-3001","919 GATES AVENUE ","BROOKLYN",11221,"TUE,WED 10-11:30AM","No","No","No","No","Food Pantry","Food Pantry","",1,"919 GATES AVENUE","-73.929032,40.688874","3016320065",40.688874,-73.929032
80373,"FP","BROOKLYN WEST FAMILY CENTER ","718 722-6001","19 SIDNEY STREET ","BROOKLYN",11201,"THUR 9:30AM-12PM&1:30-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"19 SIDNEY PLACE","-73.994317,40.692236","3002670019",40.692236,-73.994317
85069,"FP","BROWN MEMORIAL BAPTIST CHURCH FOOD PANTRY ","718-638-6121","484 WASHINGTON AVENUE ","BROOKLYN",11238,"SAT 9-11AM","No","No","No","No","Food Pantry","Food Pantry","",1,"484 WASHINGTON AVENUE","-73.965569,40.684241","3019780017",40.684241,-73.965569
81987,"FP","BROWNSVILLE TEMPLE SDA CHURCH ","718-345-3689","1089 CLARKSON AVE ","BROOKLYN",11212,"SUN (1,3) 11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1089 CLARKSON AVE","-73.922276,40.660042","3046300043",40.660042,-73.922276
80336,"FP","CALVARY PENTECOSTAL CHURCH ","718 469-8252","151 WOODRUFF AVENUE ","BROOKLYN",11226,"THUR 11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"151 WOODRUFF AVENUE","-73.961145,40.654561","3050540062",40.654561,-73.961145
85563,"FP","CAMP FRIENDSHIP FOOD PANTRY IN PARK SLOPE ","718-965-3695","339 8TH STREET ","BROOKLYN",11215,"SAT 12-2:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"339 8TH STREET","-73.983769,40.66907","3009990046",40.66907,-73.983769
81317,"FP","CATHOLIC CHARITIES ","718-722-6001","2866 WEST 17TH STREET ","BROOKLYN",11224,"MON 9:30AM-1:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"2866 WEST 17TH STREET","-73.985122,40.57722","3070200039",40.57722,-73.985122
85585,"FP","CCC NEW YORK PARISH FOOD PANTRY OUTREACH PROGRAM ","718-366-8065","1380 JEFFERSON AVENUE ","BROOKLYN",11237,"SAT 10AM-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1380 JEFFERSON AVENUE","-73.909663,40.694562","3033920013",40.694562,-73.909663
80413,"FP","CENTER FOR FAMILY LIFE ","718 492-3585","443 39TH STREET ","BROOKLYN",11232,"M,F/W,THUR 10AM-1PM/11AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"443 39TH STREET","-74.00477,40.652075","3007050059",40.652075,-74.00477
81748,"FP","CHANCE FOR CHILDREN ","347-616-3228","11 McKEEVER PLACE - 1ST FLOOR (BASEMENT LEVEL)","BROOKLYN",11225,"FRI 10AM-12:30PM","No","No","No","No","Food Pantry","Food Pantry","",1,"11 MCKEEVER PLACE","-73.9581,40.66506","3013020001",40.66506,-73.9581
81352,"FP","CHILD DEVELOPMENT SUPPORT CORPORATION ","718-398-2050","352-358 CLASSON AVE ","BROOKLYN",11238,"THUR 12-2PM","No","No","No","No","Food Pantry","Food Pantry","",1,"352 CLASSON AVE","-73.960218,40.688464","3019480035",40.688464,-73.960218
85276,"FP","CHILDREN OF THE LIGHT INTERNATIONAL MINISTRIES INC ","347-794-4130","1171 EAST 95TH STREET ","BROOKLYN",11236,"M,W,F,SAT 12-6PM","No","No","No","No","Food Pantry","Food Pantry","",1,"1171 EAST 95TH STREET","-73.901785,40.642253","3082030033",40.642253,-73.901785
85322,"FP","CHRIST APOSTOLIC CHURCH GOKE FOOD PANTRY ","718-284-7479","622 CORTELYOU ROAD ","BROOKLYN",11218,"TUE/FRI 10AM-4PM/9AM-1PM","No","No","No","No","Food Pantry","Food Pantry","",1,"622 CORTELYOU ROAD","-73.972146,40.63838","3053900010",40.63838,-73.972146
84221,"FP","CHRISTIAN CULTURAL CENTER ","718-306-1021","716 CHESTER STREET ","BROOKLYN",11236,"THUR 9AM-3PM","No","No","No","No","Food Pantry","Food Pantry","",1,"716 CHESTER STREET","-73.907876,40.653735","3036420040",40.653735,-73.907876
81051,"FP","CHRISTIAN FELLOWSHIP SDA COMMUNITY SVCS-F.P. ","718-469-2050","777 SCHENECTADY AVENUE ","BROOKLYN",11203,"WED(1,2,3,4) 10:30AM-12:30PM","No","No","No","No","Both","Food Pantry","",2,"777 SCHENECTADY AVENUE","-73.933257,40.654258","3046530040",40.654258,-73.933257
