"type","type_clean","mobile","HIV","kosher","halal","program","address","clean_addr","boro","zip_code","days","snap_activity","coords","bbl","lat","lon"
"FP","Food Pantry","No","No","No","No","ABRAHAM HOUSE, INC","340 WILLIS AVENUE","340 WILLIS AVENUE","BRONX","10454","SAT","On site social workers/ HRA provides SNAP training and outreach materials for distribution and posting/ SNAP training","-73.920989,40.811169","2022860006",40.811169,-73.920989
"FP","Food Pantry","No","No","No","No","ABUNDANT GRACE FOR THE FORSAKEN FOOD PANTRY","3101 EASTCHESTER ROAD","3101 EASTCHESTER ROAD","BRONX","10469","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.843972,40.871321","2047610050",40.871321,-73.843972
"FP","Food Pantry","No","No","No","No","ACS CARES","2501 GRAND CONCOURSE - ROOM 409","2501 GRAND CONCOURSE","BRONX","10468","MON,WED,FRI","HRA provides SNAP outreach materials for distribution and posting","-73.897457,40.862995","2031670001",40.862995,-73.897457
"FP","Food Pantry","No","No","No","No","ACTS COMMUNITY DEVELOPMENT CORPORATION","2114 MERMAID AVE","2114 MERMAID AVE","BROOKLYN","11224","TUE/THUR","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.988416,40.576037","3070580007",40.576037,-73.988416
"SK","Soup Kitchen","No","No","No","No","ACTS COMMUNITY DEVELOPMENT CORPORATION","2114 MERMAID AVE","2114 MERMAID AVE","BROOKLYN","11224","WED,FRI","On site SNAP prescreening and application assistance/ FBNYC TEN site (vendor contracted by HRA)","-73.988416,40.576037","3070580007",40.576037,-73.988416
"FP","Food Pantry","No","No","No","No","ADMIRABLE CHURCH INC","1910 FLATBUSH AVENUE","1910 FLATBUSH AVENUE","BROOKLYN","11210","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.937734,40.623107","3078100037",40.623107,-73.937734
"FP","Food Pantry","No","No","No","No","ADVENT LUTHERAN CHURCH","2504 BROADWAY","2504 BROADWAY","MANHATTAN","10025","SAT (1ST)","HRA provides SNAP outreach materials for distribution and posting","-73.9727,40.792697","1012410020",40.792697,-73.9727
"SK","Soup Kitchen","No","No","No","No","ADVENT LUTHERAN CHURCH","2504 BROADWAY","2504 BROADWAY","MANHATTAN","10025","SAT (4TH)","HRA provides SNAP outreach materials for distribution and posting","-73.9727,40.792697","1012410020",40.792697,-73.9727
"FP","Food Pantry","No","No","No","No","AGAPE CHRISTIAN CENTER","59-02 SUMMERFIELD ST. RIDGEWOOD","59-02 SUMMERFIELD ST.","QUEENS","11385","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.897699,40.699211","4035890001",40.699211,-73.897699
"FP","Food Pantry","No","No","No","No","ALL NATIONS BAPTIST CHURCH OF WOODHAVEN","86-76 80TH STREET","86-76 80TH STREET","QUEENS","11421","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.862315,40.691522","4089140022",40.691522,-73.862315
"FP","Food Pantry","No","No","No","No","ALLEN OUTREACH MINISTRY FEEDING PROGRAM","111-54 MERRICK BLVD","111-54 MERRICK BLVD","QUEENS","11433","THUR","HRA provides SNAP outreach materials for distribution and posting / SNAP Outreach provided by EA 2Xs year.","-73.780746,40.693042","4102080001",40.693042,-73.780746
"FP","Food Pantry","No","No","No","No","AMMI EVANGELICAL BAPTIST CHURCH","1799 FLATBUSH AVE","1799 FLATBUSH AVE","BROOKLYN","11210","SAT","HRA provides SNAP outreach materials for distribution and posting","-73.940389,40.626345","3076180028",40.626345,-73.940389
"FP","Food Pantry","No","No","No","No","ASCENSION OUTREACH, INC","12 WEST 11TH STREET","12 WEST 11TH STREET","MANHATTAN","10011","SAT(2ND,4TH)","HRA provides SNAP outreach materials for distribution and posting","-73.995773,40.734109","1005740038",40.734109,-73.995773
"FP","Food Pantry","No","No","No","No","ATONEMENT LUTHERAN CHURCH","30-61 87TH STREET (JACKSON HEIGHTS)","30-61 87TH STREET","QUEENS","11369","THUR (EVYOTHER)","HRA provides SNAP outreach materials for distribution and posting","-73.88116,40.759958","4013850040",40.759958,-73.88116
"FP","Food Pantry","No","No","No","No","BAILEY HOUSE FOOD PANTRY","1751 PARK AVENUE 3RD FLOOR","1751 PARK AVENUE","MANHATTAN","10035","MON/WED","HRA provides SNAP outreach materials for distribution and posting/ FBNYC TEN site (vendor contracted by HRA)","-73.940407,40.802577","1017700072",40.802577,-73.940407
