"clean_addr","coun_dist","shape_area","shape_leng","type","type_clean","mobile","HIV","kosher","halal","program","address","boro","zip_code","days","snap_activity","coords","bbl","lon","lat","multiple","number","clean_prgm","type1","type_clean1","program1","mobile1","HIV1","kosher1","halal1","snap_activity1","type2","type_clean2","program2","mobile2","HIV2","kosher2","halal2","snap_activity2","type3","type_clean3","program3","mobile3","HIV3","kosher3","halal3","snap_activity3","types"
"10-25 41ST AVE",26,152159343.891,76213.5776792,"FPM","Food Pantry","Yes","No","No","No","CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES","10-25 41ST AVE","QUEENS",11101,"TUE(2),SAT (4)","New site, Coordinating future SNAP outreach services","-73.944514,40.755604",4004700100,-73.944514,40.755604,"Food Pantry",1,"CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES","FPM","Food Pantry Mobile","CITY HARVEST MOBILE MARKET - QUEENSBRIDGE HOUSES","Yes","No","No","Yes","New site, Coordinating future SNAP outreach services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry Mobile"
"100-10 ASTORIA BLVD.",21,132431799.95,80033.5909351,"SK","Soup Kitchen","No","No","No","No","FIRST BAPTIST CHURCH","100-10 ASTORIA BLVD., E. ELMHURST","QUEENS",11369,"WED","HRA provides SNAP outreach materials for distribution and posting","-73.868911,40.76148",4016880002,-73.868911,40.76148,"Soup Kitchen",1,"FIRST BAPTIST CHURCH","SK","Soup Kitchen","FIRST BAPTIST CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Soup Kitchen"
"100-50 196TH STREET",27,221755997.048,82516.6550754,"FP","Food Pantry","No","No","No","No","HOLLIS PRESBYTERIAN CHURCH","100-50 196TH STREET","QUEENS",11423,"MON","HRA provides SNAP outreach materials for distribution and posting","-73.762709,40.708064",4108620049,-73.762709,40.708064,"Food Pantry",1,"HOLLIS PRESBYTERIAN CHURCH","FP","Food Pantry","HOLLIS PRESBYTERIAN CHURCH","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1001 MORRIS AVENUE",16,57831138.393,70414.2736417,"FP","Food Pantry","No","No","No","No","REDEEMED CHRISTIAN CHURCH OF GOD","1001-1005 MORRIS AVENUE","BRONX",10456,"TUE","HRA provides SNAP outreach mateiral for distribution and posting","-73.916908,40.829041",2024470053,-73.916908,40.829041,"Food Pantry",1,"REDEEMED CHRISTIAN CHURCH OF GOD","FP","Food Pantry","REDEEMED CHRISTIAN CHURCH OF GOD","No","No","No","No","HRA provides SNAP outreach mateiral for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1010 BAYCHESTER AVENUE",12,137915477.628,56956.3365405,"FP","Food Pantry","No","No","No","No","COOP CITY SDA CHURCH FOOD PANTRY","1010 BAYCHESTER AVENUE","BRONX",10475,"WED","HRA provides SNAP outreach materials for distribution and posting","-73.830958,40.880315",2051410298,-73.830958,40.880315,"Food Pantry",1,"COOP CITY SDA CHURCH FOOD PANTRY","FP","Food Pantry","COOP CITY SDA CHURCH FOOD PANTRY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1011 WINTHROP STREET",41,78156814.9694,57718.3766762,"FP","Food Pantry","No","No","No","No","CHURCH OF GOD, INC.","1011 WINTHROP STREET","BROOKLYN",11212,"SAT","HRA provides SNAP outreach materials for distribution and posting","-73.926142,40.660275",3046100045,-73.926142,40.660275,"Food Pantry",1,"CHURCH OF GOD, INC.","FP","Food Pantry","CHURCH OF GOD, INC.","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"102-16 89TH AVENUE",32,310730082.789,312188.187072,"FP","Food Pantry","No","No","No","No","CALVARY'S MISSION","102-16 89TH AVENUE (RICHMOND HILL)","QUEENS",11418,"THUR / SAT","HRA provides SNAP outreach materials for distribution and posting","-73.843439,40.693079",4092930003,-73.843439,40.693079,"Food Pantry",1,"CALVARY'S MISSION","FP","Food Pantry","CALVARY'S MISSION","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
"1032 BEACH 19TH STREET",31,436682690.776,433258.983326,"FP","Food Pantry","No","No","No","No","UNITED METHODIST CENTER IN FAR ROCKAWAY","1032 BEACH 19TH STREET (NEAR MOTT AVE)","QUEENS",11691,"TUE,THUR","HRA provides SNAP outreach materials for distribution and posting","-73.751729,40.603101",4155600012,-73.751729,40.603101,"Multiple Programs",2,"UNITED METHODIST CENTER IN FAR ROCKAWAY","FP","Food Pantry","UNITED METHODIST CENTER IN FAR ROCKAWAY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting","SK","Soup Kitchen","UNITED METHODIST CENTER IN FAR ROCKAWAY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"1032 BEACH 19TH STREET",31,436682690.776,433258.983326,"SK","Soup Kitchen","No","No","No","No","UNITED METHODIST CENTER IN FAR ROCKAWAY","1032 BEACH 19TH STREET (NEAR MOTT AVE)","QUEENS",11691,"MON-FRI","HRA provides SNAP outreach materials for distribution and posting","-73.751729,40.603101",4155600012,-73.751729,40.603101,"Multiple Programs",2,"UNITED METHODIST CENTER IN FAR ROCKAWAY","FP","Food Pantry","UNITED METHODIST CENTER IN FAR ROCKAWAY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting","SK","Soup Kitchen","UNITED METHODIST CENTER IN FAR ROCKAWAY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry, Soup Kitchen"
"1038 PROSPECT AVENUE",17,135053206.029,120620.696712,"FP","Food Pantry","No","No","No","No","SPANISH SDA CHURCH FOOD PANTRY","1038 PROSPECT AVENUE","BRONX",10459,"THUR","HRA provides SNAP outreach materials for distribution and posting","-73.899214,40.824661",2026910012,-73.899214,40.824661,"Food Pantry",1,"SPANISH SDA CHURCH FOOD PANTRY","FP","Food Pantry","SPANISH SDA CHURCH FOOD PANTRY","No","No","No","No","HRA provides SNAP outreach materials for distribution and posting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Food Pantry"
